# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
3.045932249695647e-08	0.78409386	0.6202145	-0.023038054	-0.2824921	-0.22344992	0.008300114
3.064153848253456e-08	0.6665439	0.74510986	-0.023037571	-0.24014136	-0.26844698	0.00829994
3.082366284316484e-08	0.5294522	0.848027	-0.02303722	-0.19075021	-0.30552584	0.008299813
3.100644133518641e-08	0.37622344	0.9262426	-0.023037355	-0.1355452	-0.33370522	0.008299861
3.1187822350569325e-08	0.21313943	0.9767502	-0.023037722	-0.07678953	-0.351902	0.008299993
3.137173053224457e-08	0.04145879	0.99887466	-0.023037694	-0.014936708	-0.359873	0.008299984
3.155510221364573e-08	-0.1309633	0.9911196	-0.023037586	0.047183245	-0.35707903	0.008299945
3.1738077501031176e-08	-0.29912448	0.953936	-0.023037346	0.10776809	-0.34368253	0.008299859
3.191991520388506e-08	-0.4574552	0.88893425	-0.02303747	0.16481122	-0.3202638	0.008299904
3.210339613247363e-08	-0.6036131	0.79694456	-0.023037395	0.21746878	-0.2871219	0.008299876
3.2283968911622706e-08	-0.72989005	0.6831764	-0.023037719	0.26296365	-0.24613373	0.008299993
3.2466607370226844e-08	-0.8361391	0.5480336	-0.023038076	0.30124286	-0.19744468	0.008300122
3.264984819249714e-08	-0.9178911	0.39616337	-0.023037704	0.33069634	-0.1427291	0.008299988
3.283358313364884e-08	-0.97243094	0.23205048	-0.02303785	0.35034585	-0.083602786	0.008300041
3.301827297061254e-08	-0.99792683	0.060095385	-0.023037715	0.35953152	-0.02165107	0.0082999915
3.320341955562662e-08	-0.9932018	-0.1141035	-0.023037707	0.35782918	0.04110903	0.00829999
3.338630770061771e-08	-0.9589038	-0.28279468	-0.023037631	0.34547237	0.10188483	0.008299962
3.356955246022941e-08	-0.89602673	-0.44340217	-0.023037741	0.3228191	0.15974823	0.008300001
3.3753823463205776e-08	-0.8059079	-0.5915926	-0.02303823	0.29035124	0.21313804	0.008300178
3.393722648985074e-08	-0.6921214	-0.7214133	-0.02303825	0.24935642	0.25990963	0.008300184
3.4120034925408504e-08	-0.55816376	-0.829411	-0.023037717	0.20109436	0.2988189	0.008299992
3.430215394249627e-08	-0.4082655	-0.91257256	-0.02303789	0.14708926	0.32878023	0.008300055
3.4486247732303325e-08	-0.2445592	-0.96936065	-0.023037927	0.088109404	0.3492397	0.008300068
3.467053126054366e-08	-0.07332834	-0.99704176	-0.02303775	0.026418619	0.35921264	0.0083000045
3.4854217817563316e-08	0.09954889	-0.994766	-0.023037607	-0.035865314	0.35839272	0.008299952
3.5036735064550154e-08	0.26838705	-0.96303576	-0.023037665	-0.09669407	0.34696102	0.008299974
3.521997527624034e-08	0.42991596	-0.902575	-0.023037782	-0.15488945	0.32517833	0.008300016
3.540380661666328e-08	0.5791024	-0.8149293	-0.023037069	-0.2086381	0.29360145	0.008299759
3.55879525788115e-08	0.7111492	-0.7026637	-0.023037268	-0.25621176	0.25315458	0.008299831
3.5771946743009976e-08	0.821739	-0.5693982	-0.023037039	-0.29605484	0.2051419	0.0082997475
